predator_species,n_iucn_prey,n_aUT_1,n_uTID19_1,prop_used_iucn,prop_food_iucn,n_aUT_1_spo,n_uTID19_1_spo,fact_aUT_1_spo,fact_uTID_1_spo
Acinonyx jubatus,28,26,25,0.93,0.89,2642,1508,94.35714285714286,53.857142857142854
Asio otus,455,209,113,0.46,0.25,4182,2523,9.19120879120879,5.545054945054945
Bubo ascalaphus,66,31,21,0.47,0.32,1497,909,22.681818181818183,13.772727272727273
Bubo bengalensis,33,21,18,0.64,0.55,1992,1307,60.36363636363637,39.60606060606061
Bubo bubo,552,361,240,0.65,0.43,3007,2025,5.447463768115942,3.6684782608695654
Bubo capensis,30,12,8,0.4,0.27,2070,1090,69,36.333333333333336
Bubo magellanicus,60,12,6,0.2,0.1,1181,466,19.683333333333334,7.766666666666667
Bubo virginianus,205,76,36,0.37,0.18,3004,1311,14.653658536585366,6.3951219512195125
Canis lupus,35,27,15,0.77,0.43,3802,2347,108.62857142857143,67.05714285714286
Carcharodon carcharias,92,62,57,0.67,0.62,10423,5307,113.29347826086956,57.68478260869565
Crocuta crocuta,25,23,23,0.92,0.92,3407,1994,136.28,79.76
Cuon alpinus,21,19,19,0.9,0.9,3577,2327,170.33333333333334,110.80952380952381
Lycaon pictus,23,20,20,0.87,0.87,2313,1265,100.56521739130434,55
Orcinus orca,121,83,73,0.69,0.6,10460,5337,86.44628099173553,44.107438016528924
Panthera leo,40,32,30,0.8,0.75,3202,1861,80.05,46.525
Panthera onca,9,9,9,1,1,2707,1094,300.77777777777777,121.55555555555556
Panthera pardus,77,58,55,0.75,0.71,7233,4428,93.93506493506493,57.506493506493506
Panthera tigris,24,23,22,0.96,0.92,3523,2318,146.79166666666666,96.58333333333333
Puma concolor,16,11,11,0.69,0.69,3045,1267,190.3125,79.1875
Thunnus alalunga,33,12,11,0.36,0.33,6958,3425,210.84848484848484,103.78787878787878
Thunnus albacares,99,54,48,0.55,0.48,9291,4652,93.84848484848484,46.98989898989899
Thunnus obesus,63,19,18,0.3,0.29,6788,3354,107.74603174603175,53.23809523809524
Tyto alba,462,197,110,0.43,0.24,11446,5946,24.774891774891774,12.87012987012987
